Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
eoxv_U5MOY8qcSvPTY1HSw,Chapati Man NY,2006 2nd Ave,"{'latitude': 40.788863, 'longitude': -73.943372}",8,4.0,10029,indian
bgKGT3osx4KNjrdva4lYpQ,Aroma Progressive Indian Cuisine,6340 Woodhaven Blvd,"{'latitude': 40.723375, 'longitude': -73.868668}",186,4.0,11374,indian
zDiKwE9LPwWo9k2kdwMEZw,Saffron Indian Cuisine,4404 Broadway,"{'latitude': 40.757176, 'longitude': -73.915762}",283,3.5,11103,indian
cJfbydHniqWsGL2VHVDHEg,Bombay Grill,8716 3rd Ave,"{'latitude': 40.62238, 'longitude': -74.03183}",270,4.0,11209,indian
dPffKoLRlnoMFLEgLkHuYA,Masala Cafe,839 Newark Ave,"{'latitude': 40.735694, 'longitude': -74.066643}",53,4.5,07306,indian
K9t9xqhbLIePem5Okb3J9Q,Indian Express,301 W 154th St,"{'latitude': 40.82871, 'longitude': -73.93802}",35,4.0,10039,indian
ATrDmKiZ-YrAcG3hR7LLgg,Tadka Fine Indian Cuisine,1297 Paterson Plank Rd,"{'latitude': 40.79015, 'longitude': -74.05819}",130,3.5,07094,indian
IJg3TdXz8IzKTfcspmr8MQ,Seasoned Vegan,55 Saint Nicholas Ave,"{'latitude': 40.800664, 'longitude': -73.952757}",1237,4.0,10026,indian
N1fsQQ4EidsDO3MKhLYLng,Bombay Vada House,131 Erie St,"{'latitude': 40.72658837531243, 'longitude': -74.04374304323275}",8,4.5,07302,indian
FhXBKrLHyK7np4d0_f1s-w,Swadist Restaurant,715 Newark Ave,"{'latitude': 40.734995, 'longitude': -74.061407}",189,4.5,07306,indian
321dvWH3DwQE4uaVJX2Kvg,Sigri Indian BBQ,155 University Ave,"{'latitude': 40.74240619195804, 'longitude': -74.17369730817033}",71,4.0,07102,indian
Nssb3grMQtYfJOs1HFId8A,VeganHood,2100 Frederick Douglass Blvd,"{'latitude': 40.80275, 'longitude': -73.95617}",67,4.5,10026,indian
1ckkPS7KtGSu_xXXWKcbvQ,Tandoori Masala,1695 Broadway,"{'latitude': 40.6840199, 'longitude': -73.91184}",192,4.0,11207,indian
WrMu2G5M2im56uYKTd4Bgw,Curry In A Hurry,119 Lexington Ave,"{'latitude': 40.74268, 'longitude': -73.9822499}",515,3.0,10016,indian
aFhnb8k6H-wD070vvxt4Fw,Kababish,70-64 Broadway,"{'latitude': 40.747598, 'longitude': -73.893979}",205,3.5,11372,indian
Qz5E5sPtETWD3kwEUsBZpw,Kabul Kabab House,42-51 Main St,"{'latitude': 40.753857, 'longitude': -73.827635}",535,4.0,11355,indian
T-oHllUXvyGBvhn3id5Vwg,New Asha Sri Lanka Restaurant,322 Victory Blvd,"{'latitude': 40.6342048, 'longitude': -74.0855344}",142,4.5,10301,indian
0XC6L2GCtuaNEI8XFEyD2g,Jungle Cafe,131 Greenpoint Ave,"{'latitude': 40.730358, 'longitude': -73.954885}",280,4.0,11222,indian
iXrKGRzIZK0pp31mO3nBzA,Spice & Grill,441 Myrtle Ave,"{'latitude': 40.6933894, 'longitude': -73.9679912}",174,4.0,11205,indian
aaVV388ojMgIayC3cVIEVg,Mausam Indian Curry N Bites,76 Market St,"{'latitude': 40.84595, 'longitude': -74.16121}",258,4.5,07012,indian
7UJRw4Klt5yfE7q9vznEHA,Kabob Shack,182 Havemeyer St,"{'latitude': 40.7107199, 'longitude': -73.9582771}",196,4.0,11211,indian
CX6_T61ZANH5ttfMLeKKIA,The Kati Roll Company,22 Maiden Ln,"{'latitude': 40.709095, 'longitude': -74.009144}",52,3.0,10038,indian
QaXo7ZhglTcSWHLQ8QNY4A,BK JANI,445 Albee Sq,"{'latitude': 40.690933, 'longitude': -73.983087}",70,4.0,11201,indian
AJjQwst3ppWZ9BCfk-tQPA,Bhojon,15 E 30th St,"{'latitude': 40.7455041728767, 'longitude': -73.9850751015234}",1,4.0,10016,indian
U7QMrNTwRrPJ__0jbb6EYQ,Dosa Delight,3566 73rd St,"{'latitude': 40.7495245, 'longitude': -73.8929686}",508,4.0,11372,indian
Yf4SjE9tfd1ASaT3xtwYzQ,Bombay Biryany Cart,Broadway & Liberty St,"{'latitude': 40.7090803971022, 'longitude': -74.0105903148651}",5,4.5,10005,indian
uwx3yy7Wu5u55EiXRv03aQ,Ali Baba,912 Washington St,"{'latitude': 40.747742, 'longitude': -74.028024}",346,4.0,07030,indian
-_LtKO0FdpINUMAWMfDOOQ,Al Naimat Restaurant & Sweets,3703 74th St,"{'latitude': 40.74882, 'longitude': -73.891538}",148,4.0,11372,indian
roT-M9epcHDOGjYgGmWpoA,Ras Plant Based,739 Franklin Ave,"{'latitude': 40.67343, 'longitude': -73.95682}",293,5.0,11238,indian
B_lY4rXX67iYSBPMQO9ItQ,Mamak's Corner,140 W 51st St,"{'latitude': 40.761086292587144, 'longitude': -73.98168381303549}",3,4.0,10020,indian
eht_0com4C1sQbl9qCzlag,Hungry Bird,980 Morris Ave,"{'latitude': 40.82844363093081, 'longitude': -73.91674001499564}",233,4.0,10456,indian
6lHhC-WND3Vs2DhTnDtgjQ,Taza Mkt,254 36th St,"{'latitude': 40.6563057324335, 'longitude': -74.0081928122302}",57,4.5,11232,indian
Na55QhymZh3cje8Ac2vCvg,Nimbooda,664 Washington Ave,"{'latitude': 40.67825, 'longitude': -73.96419}",181,4.0,11238,indian
kPE1RinxVyPbPmdGu9R85A,Clove Garden of India,353 3rd St,"{'latitude': 40.723668437454315, 'longitude': -74.05046512331108}",139,4.5,07302,indian
AmsFqdP6BULcAGYEn1EFZg,Urban Tandoor,206 Harrison Ave,"{'latitude': 40.746238, 'longitude': -74.159862}",132,4.0,07029,indian
RxlN-Q5U1J3LpK69VV9Xyw,Bengali Sweet corner,836 Newark Ave,"{'latitude': 40.7358435541391, 'longitude': -74.0664681047201}",96,3.5,07306,indian
maXkjUEZGWrKF7BFrrUUXQ,King of Tandoor,600 Flatbush Ave,"{'latitude': 40.6588935852051, 'longitude': -73.9608535766602}",275,4.0,11225,indian
T5aGLWBjIZoV0pSW80nJXA,Amiya,101 Hudson St,"{'latitude': 40.71638242842502, 'longitude': -74.03521448255054}",456,3.5,07302,indian
kTi9RbFCUGRySbZnq0pdlQ,Balkh Shish Kabab House,2310 31st St,"{'latitude': 40.774216658895, 'longitude': -73.9132948450994}",177,4.0,11105,indian
lcI9kOcRqxxMhM4b5pHqsg,Dawa's,51-18 Skillman Ave,"{'latitude': 40.7456869, 'longitude': -73.9126859}",290,4.5,11377,indian
9eZrG8nANKuoyGSqdj_gew,Ashoka Grill,1436 Flatbush Ave,"{'latitude': 40.6356477, 'longitude': -73.9508667}",224,4.0,11210,indian
wMhJPpAQqmbGhOFErPh4zg,Woodlands Cafe,160 Frederick St,"{'latitude': 40.874897, 'longitude': -74.102093}",74,4.0,07026,indian
RRwz0t3XcaMCSjTWDy3C9A,Lahori Chilli Restaurant & Sweets,1026 Coney Island Ave,"{'latitude': 40.632522218948175, 'longitude': -73.96704876288035}",111,4.0,11230,indian
IDEq8v88W58i2QZuNFjl-w,Bombay Kitchen,733 Knickerbocker Ave,"{'latitude': 40.694066, 'longitude': -73.909556}",215,4.0,11221,indian
q2HGvziLlfQGChoDPFjTCQ,Szechaun Mirchi,850 Newark Ave,"{'latitude': 40.73621, 'longitude': -74.067281}",84,4.0,07306,indian
I2Y3_18dUz0CaSzsx_x7Ag,new dosa garden,323 Victory Blvd,"{'latitude': 40.63422, 'longitude': -74.08568}",134,4.0,10301,indian
7q9Drd3DCB4hw8bPT-zLyA,Karmasala Indian,40 Rivington St,"{'latitude': 40.721, 'longitude': -73.99114}",1,3.0,10002,indian
Rr55bXbJcfdm4lIf-1f0Qw,Kwik Meal,100 W 45th St,"{'latitude': 40.7567014, 'longitude': -73.9828935}",292,4.0,10036,indian
yLcJTiE4n_w4sZwSfMZYZA,Bombay Kabab,54 7th Ave,"{'latitude': 40.67606, 'longitude': -73.97455}",104,4.0,11217,indian
NH7Ws65ZwlmOosiblfGTRw,Spice Hut Indian Restaurant,2036 2nd Ave,"{'latitude': 40.78967, 'longitude': -73.94278}",77,3.0,10029,indian
nqGp208f_wdqoLfNQgn_Ig,Haat Bazaar,3711 73rd St,"{'latitude': 40.748491, 'longitude': -73.892382}",130,4.0,11372,indian
fmH4YbvpYdcpaaYOL1g7wg,Bombay Heights,1070 Bedford Ave,"{'latitude': 40.688221, 'longitude': -73.955137}",91,3.5,11216,indian
gHw2LnjgqyJclvlOjISv6g,Spice Wala Indian Cuisine,97 1st Ave,"{'latitude': 40.726383, 'longitude': -73.986522}",21,3.5,10003,indian
2aX-Ufoaffi2z8CD0EgtDA,Riverdale indian kitchen,318 West 231 St,"{'latitude': 40.88099, 'longitude': -73.90896}",3,2.5,10463,indian
ZzEkQtY5YVCmqMtg8pkCLw,Green Symphony,547 6th Ave 14 St,"{'latitude': 40.738083, 'longitude': -73.9968139}",109,4.0,10011,indian
iKmkvUxijMno9LExbNRrAw,Forest Hills Indian Cuisine,7151 Yellowstone Blvd,"{'latitude': 40.7212239, 'longitude': -73.8549107}",63,4.0,11375,indian
PAhIveQCsTzi7FNPPQPutA,Chandni Chowk Restaurant,2570 Bronxwood Ave,"{'latitude': 40.86531, 'longitude': -73.8613699}",27,4.0,10469,indian
87WfLan3_7K_OYPYd5zUIA,La Shuk,1569 Lexington Ave,"{'latitude': 40.788612, 'longitude': -73.948737}",424,4.5,10029,indian
GeXd_6XseU9E8oC1p1SaNg,sweetgreen,311 Amsterdam Ave,"{'latitude': 40.78030326463333, 'longitude': -73.98018600763737}",238,3.5,10023,indian
CN-ZjeSCht_lOcEsuVSfgA,Raaz,537 Washington Blvd,"{'latitude': 40.727503, 'longitude': -74.034882}",250,3.5,07310,indian
txfjMwfqr0HXNFZTJTkYiA,Khalil Biryani House,1445 Olmstead Ave,"{'latitude': 40.8353157662589, 'longitude': -73.8550591682938}",50,3.5,10462,indian
HHkTmzDBE9sGWvtSW9Ne8A,Tangra Masala,87-09 Grand Ave,"{'latitude': 40.736536, 'longitude': -73.878328}",344,3.5,11373,indian
fZOmB4eaVlnf6LIejL2vBg,Jalsa - Grill & Gravy,786 Coney Island Ave,"{'latitude': 40.6382322, 'longitude': -73.9688152}",188,4.5,11218,indian
Z2qZSs6oVJQFSc44tytAHg,India House Restaurant,586 Nostrand Ave,"{'latitude': 40.6787193651342, 'longitude': -73.9496699720621}",145,4.0,11216,indian
MeyBDyi-wxPm9ytY9Npalw,Desi Dhaba,4A Columbus Dr,"{'latitude': 40.717364419652, 'longitude': -74.0352404016294}",2,2.5,07302,indian
LC5qKRk3zy7f1eTONkSd3A,Dhania Fine Indian Cuisine,787 Prospect Pl,"{'latitude': 40.674467, 'longitude': -73.950531}",38,4.5,11216,indian
OxQ1lGq3uzl8_fgW67rXdQ,Tikka Indian Grill,119-30 Metropolitan Ave,"{'latitude': 40.7058236, 'longitude': -73.8311437}",282,4.0,11415,indian
l4fwf8VwAokv3MWT45Ab7g,Bunna Cafe,1084 Flushing Ave,"{'latitude': 40.705042, 'longitude': -73.928078}",779,4.5,11237,indian
KLLRrrPHsA5oQKYwreTI9w,Randiwa,1405 Richmond Ave,"{'latitude': 40.61364177952, 'longitude': -74.157749999909}",54,4.5,10314,indian
-MvQAFnBC_G6eHwFT8aOVw,Honest,60 Main Ave,"{'latitude': 40.8295781, 'longitude': -74.1438155}",27,4.0,07014,indian
TTwPVEHeSeyFMLF6cik8Lw,Raj Mahal,322 E 6th St,"{'latitude': 40.72684, 'longitude': -73.98746}",218,3.0,10003,indian
PHMkwS5nmo4IUXbcg0OcAg,Jajaja Mexicana,63 Carmine St,"{'latitude': 40.72979, 'longitude': -74.00455}",566,4.5,10014,indian
IpiGGEXxz-5QVJpijXVmmA,Jackson Diner,37-47 74th St,"{'latitude': 40.7477307, 'longitude': -73.8913875}",656,3.5,11372,indian
PdOGgUoJevcOl6iGF-UtHg,Kulchay,64 Sip Ave,"{'latitude': 40.73066, 'longitude': -74.06214}",17,4.5,07306,indian
iU0McmYWdsnD-NKRUZXhQQ,Sapphire Indian Restaurant,435 Dekalb Ave,"{'latitude': 40.6906127929688, 'longitude': -73.9599838256836}",39,3.5,11205,indian
xDERYqY7CbIx4aAlKsLy-A,Tikka Indian Grill,396 5th Ave,"{'latitude': 40.6707308, 'longitude': -73.985264}",73,4.0,11215,indian
dJmC6GmMgX3VLSdaLhcJdg,Tandoor Restaurant,9524 Queens Blvd,"{'latitude': 40.730351, 'longitude': -73.863868}",227,3.5,11374,indian
pSxvfdkC3cDNp-cXRB68tw,Nepali Bhanchha Ghar,74-15 Roosevelt Ave,"{'latitude': 40.7471014, 'longitude': -73.8909012}",123,4.0,11372,indian
o0KsfMVarWBDsTOGFXVHsA,Gakyizompe,4711 47th Ave,"{'latitude': 40.7411023, 'longitude': -73.9175822}",38,3.5,11377,indian
WdaLydR9O57rWbTnQQQ1OQ,Ruma's Kitchen,37-01 61st St,"{'latitude': 40.7493792, 'longitude': -73.9016969}",36,4.0,11377,indian
